"AREA","Community Tubes"
"AREA","Brinsworth and Catcliffe"
"TUBE","Abbeyfield Park House",435729,389413,-,25,25,24,25,23,-,-,-,-,-,-,-,-
"TUBE","Burngreave Road",436065,388647,-,34,34,30,41,32,-,-,-,-,-,-,-,-
"TUBE","Scott Road",436143,389604,-,29,28,28,30,27,-,-,-,-,-,-,-,-
"TUBE","Firshill School, Barnsley Road",435792,389616,-,29,28,30,31,25,-,-,-,-,-,-,-,-
"TUBE","Barnsley Road",436225,389872,-,34,35,33,39,35,-,-,-,-,-,-,-,-
"AREA","Tinsley"
"TUBE","Town Street",439953,390961,-,53,43,51,53,47,45,43,49,44,45,44,46,38
"TUBE","Seimens Close",440035,390828,-,46,43,48,47,43,40,40,44,38,40,37,37,32
"TUBE","Greasebro Road",439852,390709,-,40,42,41,44,39,35,37,37,34,39,34,35,31
"TUBE","186 Ferrars Road",440411,390874,-,37,38,33,37,31,28,30,29,30,32,27,28,26
"TUBE","Ingfield Avenue",440199,390610,-,44,39,40,37,36,34,32,36,33,35,33,33,27
"TUBE","Sheffield Road Back",440111,391199,-,-,-,38,38,35,33,31,33,31,35,33,31,29
"TUBE","Ferrars Road/Sheffield Rd Front ‘07",440080,391250,-,-,-,31,33,35,35,35,38,36,40,36,36,32
"TUBE","151 Ferrars Road",440415,390905,-,-,-,32,32,33,30,24,-,-,-,-,-,-
"TUBE","Junior School Building",440242,390513,-,-,-,-,-,-,40,40,44,41,43,41,37,30
"TUBE","Junior School Field",440286,390541,-,-,-,-,-,-,43,44,49,45,50,44,46,34
"AREA","Kelham Island"
"TUBE","Wicker",435901,388068,-,-,-,43,41,42,38,38,42,42,45,45,43,43
"TUBE","Ladys Bridge",435792,387845,-,-,-,82,77,44,42,40,45,47,52,47,47,37
"TUBE","Gibraltar Street",435214,387899,-,-,-,37,41,34,34,32,35,35,37,38,30,30
"TUBE","Penistone Road",434806,388216,-,-,-,46,55,49,51,45,54,52,56,54,52,46
"AREA","King Ecgbert School"
"TUBE","Back of School",431020,380901,-,-,-,13,14,12,12,12,12,12,-,-,-,-
"TUBE","Car park",431094,380895,-,-,-,15,18,16,16,15,15,14,-,-,-,-
"TUBE","Top of drive",430962,380738,-,-,-,16,17,16,15,15,15,14,-,-,-,-
"TUBE","Tesco Express Abbeydale Rd",431836,380676,-,-,-,29,31,27,27,27,27,24,-,-,-,-
"TUBE","Ashfurlong Road",431492,381286,-,-,-,14,15,13,13,13,12,11,-,-,-,-
"AREA","Firvale"
"TUBE","Earl Marshall Youth Ctr Rushby St",436805,390266,-,26,27,32,28,25,-,-,-,-,-,-,-,-
"TUBE","101 Firth Park Road",436830,390522,-,35,-,28,-,-,-,-,-,-,-,-,-,-
"TUBE","20 Owler Lane 1",436642,390237,-,40,42,38,43,36,-,-,-,-,-,-,-,-
"TUBE","313 Owler Lane 2",437273,390223,-,34,34,36,38,32,-,-,-,-,-,-,-,-
"TUBE","505 Barnsley Road",436459,390144,-,42,41,36,42,38,-,-,-,-,-,-,-,-
"AREA","Broomhall"
"TUBE","Ruth Square",434040,386935,-,-,21,21,24,20,27,24,20,20,21,20,-,-
"TUBE","Broomhall Road",434026,386436,-,-,21,27,26,26,25,22,21,21,22,21,-,-
"TUBE","Hanover Methodist church",434373,386894,-,-,26,28,30,25,24,24,23,23,23,23,-,-
"TUBE","Springfield School",434563,386942,-,-,22,25,25,24,25,25,22,23,23,23,-,-
"TUBE","88 Exeter Drive",434556,386419,-,-,26,29,27,24,18,24,24,25,27,24,-,-
"TUBE","126 Exeter Drive",434600,386515,-,-,36,36,30,28,23,26,25,26,27,25,-,-
"TUBE","103 Exeter Drive",434655,386465,-,-,26,25,-,-,-,-,-,-,-,-,-,-
"AREA","Burngreave/Melrose"
"TUBE","120 Burngreave Road",435773,388948,-,-,-,34,40,29,25,29,30,31,41,38,37,35
"TUBE","104 Burngreave Road",435805,388901,-,-,-,35,40,33,25,29,31,32,42,38,37,35
"TUBE","86 Burngreave Road",435838,388853,-,-,-,35,41,30,27,32,33,33,43,40,38,35
"TUBE","Burngreave Street junction",435880,388835,-,-,-,33,33,24,20,25,28,27,33,30,30,28
"TUBE","73 Burngreave Road",435843,388814,-,-,-,43,53,40,33,38,43,43,51,50,51,49
"AREA","Darnall"
"TUBE":"Darnall Post Office",439379,387855,-,-,-,-,-,-,-,-,36,34,36,32,33,31
"TUBE","Well Being, Main Road",439416,387757,-,-,-,-,-,-,-,-,41,36,40,39,39,35
"TUBE","584 Staniforth Rd",438682,388046,-,-,-,-,-,-,-,-,39,37,39,36,39,36
"TUBE","Don Valley",438123,388961,-,-,-,-,-,-,-,-,-,-,-,-,-,31
"AREA","Park Community Action"
