"dt_group","dt_name","dt_easting","dt_northing","dt_lat","dt_lon","dt_2003","dt_2004","dt_2005","dt_2006","dt_2007","dt_2008","dt_2009","dt_2010","dt_2011","dt_2012","dt_2013","dt_2014","dt_2015","dt_2016"
"Foxhill Forum","Housing Office","434264","392297","53.4263580772066","-1.48582319536945","-","-","-","-","-","-","-","25","20","20","19","-","-","-"
"Foxhill Forum","484 Deerlands Ave.","434213","392544","53.4285814509172","-1.48656392931867","-","-","-","-","-","-","-","30","28","24","27","-","-","-"
"Neepsend","Gardener's Rest","434770","388628","53.3933474790898","-1.47861190716684","-","27","30","-","-","-","-","-","-","-","-","-","-","-"
"Neepsend","Brooklyn Works","434955","388204","53.3895243115815","-1.47587689742482","-","31","27","-","-","-","-","-","-","-","-","-","-","-"
"Neepsend","Kelham Island Tavern","435199","388046","53.3880880246181","-1.47222581117451","-","25","31","-","-","-","-","-","-","-","-","-","-","-"
"Neepsend","Rutland Road","435298","389014","53.3967820019634","-1.47062946466876","-","40","39","-","-","-","-","-","-","-","-","-","-","-"
"Neepsend","Borough Mews","434581","388356","53.3909150581508","-1.48148355823772","-","28","19","-","-","-","-","-","-","-","-","-","-","-"
"Greenhill","Westwick Crescent","434132","381671","53.3308576651287","-1.4889537375934","-","17","16","18","18","16","14","17","14","14","16","15","14","14"
"Greenhill","Key Homecare/180 Bocking La","434203","381346","53.3279318978939","-1.48792264922296","-","24","21","22","24","21","20","21","21","20","22","20","19","19"
"Greenhill","St Peter's Church","434184","381067","53.3254253828198","-1.48823790504273","-","19","18","17","21","18","17","18","17","18","19","18","17","18"
"Greenhill","Greenhill Library","434171","381275","53.3272957878472","-1.48841072101999","-","20","19","21","23","20","18","20","19","19","20","18","14","15"
"Co-located","Tinsley GH2-1","434171","381275","53.3272957878472","-1.48841072101999","-","-","-","-","46","41","41","36","44","40","41","39","40","34"
"Co-located","Tinsley GH2-2","434171","381275","53.3272957878472","-1.48841072101999","-","-","-","-","46","40","42","36","44","41","41","39","38","34"
"Co-located","Tinsley GH2-3","434171","381275","53.3272957878472","-1.48841072101999","-","-","-","-","46","41","42","37","43","41","40","40","39","34"
"Greenhill","26 Bocking Lane","434045","382027","53.3340630857772","-1.49022189901067","-","25","24","23","28","24","23","25","23","23","28","26","25","25"
"Burngreave","Abbeyfield Park House","435729","389413","53.4003393846077","-1.46410307055042","-","25","25","24","25","23","-","-","-","-","-","-","-","-"
"Burngreave","Burngreave Road","436065","388647","53.3934316798011","-1.45913715869959","-","34","34","30","41","32","-","-","-","-","-","-","-","-"
