"dt_group","dt_name","dt_easting","dt_northing","dt_lat","dt_lon","dt_2003","dt_2004","dt_2005","dt_2006","dt_2007","dt_2008","dt_2009","dt_2010","dt_2011","dt_2012","dt_2013","dt_2014","dt_2015","dt_2016"
"Walkley","Gerry's Bakery, South Road","434525","384657","53.3576712499868","-1.48272835433067","-","-","-","-","-","-","-","-","-","-","-","-","29","26"
"Woodseats","School","434797","383254","53.3450429518123","-1.47879553408927","-","-","-","-","-","-","-","-","-","-","-","-","-","34"
"Woodseats","School traffic lights","434813","383252","53.3450239260249","-1.47855543677351","-","-","-","-","-","-","-","-","-","-","-","-","-","39"
"SCC City Wide Tubes","Warren lane","436063","397474","53.4727698233654","-1.45815955937582","37","31","34","35","34","30","34","30","28","29","36","37","32","30"
"SCC City Wide Tubes","7 Bawtry Gate","439995","390862","53.4130580566142","-1.39976314612218","-","49","55","57","50","44","48","46","45","44","49","47","47","40"
"SCC City Wide Tubes","47 Bawtry Road","440045","390884","53.4132520124192","-1.39900818328407","-","54","60","62","59","52","55","51","51","47","58","56","55","47"
"SCC City Wide Tubes","109 Bawtry Road","440177","390770","53.4122173708753","-1.39703691455965","-","46","51","53","47","43","48","42","43","43","48","49","47","41"
"SCC City Wide Tubes","Ecclesfield Road - Low Wincobank","438778","392008","53.4234489513435","-1.41793059355715","46","52","58","60","52","47","51","47","47","43","49","44","41","39"
"SCC City Wide Tubes","Attercliffe Road","438880","389931","53.4047732451561","-1.41665116968586","46","51","57","59","53","48","51","47","42","42","51","51","51","47"
"SCC City Wide Tubes","Attercliffe Road duplicate","438880","389931","53.4047732451561","-1.41665116968586","56","49","55","57","50","46","50","47","43","42","moved","-","-","-"
"SCC City Wide Tubes","Hatfield House Lane, Lane Top","436352","391846","53.4221651161066","-1.45445404004953","-","-","-","-","-","-","-","-","-","-","-","37","37","33"
"SCC City Wide Tubes","Barnsley Road, Fir Vale","436492","390149","53.4069026332596","-1.45254329594829","55","49","55","57","49","47","58","53","45","49","61","54","58","53"
"SCC City Wide Tubes","Upwell Street","437683","390091","53.4062978937382","-1.43463582362675","47","45","50","52","48","40","45","45","36","39","46","44","43","42"
"SCC City Wide Tubes","Burngreave Road - Minna Road","435657","389110","53.3976208222592","-1.46522002344698","49","41","46","48","42","36","38","38","36","33","39","36","37","33"
"SCC City Wide Tubes","Loxley New Road","432647","389427","53.4006641360016","-1.51045276200019","52","45","50","52","47","40","45","46","35","36","45","40","38","38"
"SCC City Wide Tubes","Loxley Nnew Road - duplicate","432647","389427","53.4006641360016","-1.51045276200019","47","44","49","51","48","41","43","44","35","35","44","39","37","36"
"SCC City Wide Tubes","Bowden Wood Close","439051","386743","53.3761065911496","-1.41447239789801","42","48","53","56","42","36","43","36","37","32","40","40","38","34"
"SCC City Wide Tubes","Parkway Broad Lane","436140","387527","53.3833598154598","-1.4581371896313","44","46","51","53","52","43","41","44","40","41","52","47","45","42"
"SCC City Wide Tubes","Parkway Broad Lane duplicate","436140","387527","53.3833598154598","-1.4581371896313","52","45","49","51","52","42","48","42","40","42","50","47","47","42"
"SCC City Wide Tubes","Exchange Street","435899","387666","53.3846255534799","-1.46174444692922","45","41","45","47","48","41","42","36","38","33","42","40","41","37"
"SCC City Wide Tubes","Duke Street","436104","387458","53.3827420847904","-1.45868624768111","48","49","55","57","56","48","47","45","43","40","53","47","52","47"
"SCC City Wide Tubes","Waingate","435739","387653","53.3845195217542","-1.46415130121651","61","49","54","56","55","51","62","59","53","52","70","60","54","49"
"SCC City Wide Tubes","Fitzalan Square","435718","387470","53.3828760990038","-1.46448763692748","60","56","62","64","62","54","59","60","51","55","67","60","61","50"
"SCC City Wide Tubes","Barkers Pool","435238","387181","53.3803106406719","-1.47173564790298","36","31","35","36","35","29","33","29","33","28","36","32","30","29"
"SCC City Wide Tubes","Scotland Street","434919","387768","53.3856078298113","-1.47646623065996","32","28","31","32","30","23","27","26","26","25","moved","-","-","-"
"SCC City Wide Tubes","Granville Rd","436360","386477","53.3739071748658","-1.45495034651474","-","-","-","-","-","-","-","-","-","-","42","35","35","35"
"SCC City Wide Tubes","Eldon St","434885","386963","53.3783745601696","-1.47706600263232","34","28","31","32","27","24","moved","-","-","-","-","-","-","-"
"SCC City Wide Tubes","Fielding Road","433325","390850","53.4134121349955","-1.50010619697416","-","-","-","-","-","-","46","43","42","39","51","48","46","44"
"SCC City Wide Tubes","Broomspring Close","434503","386893","53.3777703854043","-1.48281566100398","32","27","30","31","27","23","26","25","23","22","28","27","24","26"
"SCC City Wide Tubes","University Roundabout","434434","387393","53.3822689829211","-1.48379850169039","45","51","56","58","52","48","53","47","50","49","65","61","64","50"
"SCC City Wide Tubes","Netherthorpe School","434638","387828","53.3861655628434","-1.48068424198154","42","34","38","40","39","36","46","42","37","35","47","44","42","38"
"SCC City Wide Tubes","Upper Hanover Street","434405","386966","53.3784328950868","-1.48428080622536","46","44","48","50","45","39","45","47","38","41","48","45","43","44"
"SCC City Wide Tubes","Shoreham Street","435554","386638","53.375408944551","-1.46704639217391","57","47","52","54","52","46","50","49","43","43","58","53","55","52"
"SCC City Wide Tubes","St Mary’s Road","435494","386389","53.3731749013493","-1.4679760955692","41","36","40","41","39","29","36","37","31","29","41","41","38","38"
"SCC City Wide Tubes","Chesterfield Road/Woodseats","434814","383335","53.3457698866219","-1.47853131896966","49","45","49","51","45","38","44","46","38","40","52","48","45","44"
"SCC City Wide Tubes","Queens Road/Edmund Road","435499","385690","53.3668918044892","-1.46797919579395","48","42","47","49","41","35","44","41","36","37","49","41","41","41"
"SCC City Wide Tubes","Abbeydale Rd/Carter Knowle","434324","384315","53.3546103072291","-1.48578520894914","47","44","48","50","43","40","42","42","39","39","51","47","44","44"
"SCC City Wide Tubes","Ecclesall Road","434312","386287","53.3723359130687","-1.4857522233226","54","49","54","57","41","37","50","50","43","43","54","47","47","43"
"SCC City Wide Tubes","AUN","435135","386891","53.3777108976649","-1.47331610906449","41","34","38","39","34","31","34","33","30","moved","-","-","-","-"
"SCC City Wide Tubes","AUN","435135","386891","53.3777108976649","-1.47331610906449","40","33","37","38","34","31","34","33","29","moved","-","-","-","-"
"SCC City Wide Tubes","AUN","435135","386891","53.3777108976649","-1.47331610906449","44","31","34","36","34","31","32","31","31","moved","-","-","-","-"
"SCC City Wide Tubes","Arundel Gate Interchange","435601","387255","53.3809515096666","-1.46627065973867","-","-","-","-","-","-","-","-","-","-","77","77","81","74"
"SCC City Wide Tubes","Pond Street Interchange","435701","387258","53.3809717477565","-1.46476708343307","-","-","-","-","-","-","-","-","-","-","63","59","60","49"
"SCC City Wide Tubes","Meadowhall Interchange","439113","391196","53.416125989945","-1.4129902495125","-","-","-","-","-","-","-","-","-","-","46","49","45","42"
"SCC City Wide Tubes","ACE","435959","388004","53.3876594902665","-1.46080406115438","30","31","34","36","33","29","32","30","30","28","37","34","33","33"
"SCC City Wide Tubes","ACE","435959","388004","53.3876594902665","-1.46080406115438","36","32","36","37","33","29","32","31","30","28","38","33","32","32"
"SCC City Wide Tubes","Hillbsborough Corner","433222","389608","53.4022552566392","-1.50178610160797","46","41","46","47","38","33","39","38","32","34","42","36","34","34"
"SCC City Wide Tubes","82 Bawtry Road","440059","390854","53.4129813115837","-1.39880137378657","-","51","57","59","52","47","52","48","43","49","57","52","50","44"
"SCC City Wide Tubes","98 Bawtry Road","440116","390800","53.4124916395897","-1.39795074545184","-","51","57","59","51","48","55","47","45","44","56","51","52","49"
"Local Transport Plan Tubes","Redmires Road - Crimicar Lane","429644","386391","53.3735521517184","-1.55590034850964","-","20","20","21","21","19","19","19","19","25","-","-","-","-"
"Local Transport Plan Tubes","Coldwell Lane/Sandygate Road","431193","386798","53.377121560157","-1.53257893886607","-","26","27","26","25","25","26","22","22","24","24","23","23","20"
"Local Transport Plan Tubes","Manchester Road/Sandygate Road","432074","387081","53.3796126879933","-1.51930785359408","-","29","29","31","27","27","27","23","27","26","27","27","26","23"
"Local Transport Plan Tubes","Manchester Road/Sale Hill","433013","386752","53.3765979163774","-1.50522705238555","-","48","46","47","47","45","44","42","42","43","46","46","43","40"
"Local Transport Plan Tubes","Whitham Road/Crookes","433327","386863","53.3775759686316","-1.50049567047136","-","57","54","57","61","58","56","53","51","54","54","56","58","47"
"Local Transport Plan Tubes","Whitham Road/Moor Oaks","433513","387034","53.3791012340262","-1.49768177668514","-","48","50","52","52","52","54","50","52","48","50","48","50","42"
"Local Transport Plan Tubes","Western Bank/Northumberland Road","433752","387230","53.3808477662898","-1.4940683058182","-","42","45","46","44","44","42","39","39","41","41","40","42","33"
"Local Transport Plan Tubes","Western Bank/Clarkson Road","434060","387228","53.3808100896367","-1.48943853931719","-","53","50","45","51","49","51","48","49","47","50","48","51","47"
"Local Transport Plan Tubes","Brook Hill/Favell Road","434352","387349","53.3818788219193","-1.48503596836374","-","46","52","51","45","41","40","40","39","37","41","42","38","33"
"Local Transport Plan Tubes","Upper Hanover Street/Hounsfield Road","434373","387181","53.3803674392317","-1.48473850059099","-","34","34","37","35","33","33","31","33","32","36","34","35","29"
"Local Transport Plan Tubes","Crimicar Road/Hallamshire Road","429793","385594","53.3663801058333","-1.55373571329671","-","20","19","19","21","18","18","18","17","23","-","-","-","-"
"Local Transport Plan Tubes","Crimicar Road/Brookhouse Hill","430355","385347","53.3641281357846","-1.54531391634395","-","23","24","25","25","26","27","27","27","28","28","26","26","24"
"Local Transport Plan Tubes","Fulwood Road/Tom Lane","431374","385750","53.3676911485968","-1.52996194953586","-","27","28","24","26","24","24","25","22","24","25","23","23","20"
"Local Transport Plan Tubes","Fulwood Road/Gladstone Road","431691","386027","53.3701620637041","-1.52517044967862","-","32","30","32","29","28","31","30","31","28","31","29","30","26"
"Local Transport Plan Tubes","Fulwood Road/Ashdell Road","432970","386681","53.3759624255274","-1.50588076576797","-","32","33","32","33","30","31","31","29","31","32","30","30","26"
"Local Transport Plan Tubes","Glossop Road/Peel Street","433319","386794","53.3769562821926","-1.50062317206959","-","37","34","35","35","33","30","31","30","32","33","31","32","26"
"Local Transport Plan Tubes","Glossop Road/Westbourne Road","433429","386729","53.3763651219928","-1.49897660910141","-","38","37","39","37","36","37","39","36","38","40","38","44","41"
"Local Transport Plan Tubes","Glossop Road/Clarkehouse Road","433904","386844","53.3773686078546","-1.491824664078","-","41","39","41","40","39","37","35","35","36","36","36","36","33"
"Local Transport Plan Tubes","West Street/Regent Street","434664","387154","53.3801058074799","-1.48036707852099","-","45","47","43","48","42","44","44","40","44","47","43","43","37"
"Local Transport Plan Tubes","West Street/Leopold Street","435248","387366","53.3819727933465","-1.47156474985664","-","52","48","49","55","46","47","45","49","47","48","47","47","41"
"Local Transport Plan Tubes","Queens Road - G Casino","435807","386350","53.372803313733","-1.4632762218953","-","-","-","52","59","52","50","50","48","50","53","52","49","45"
"Local Transport Plan Tubes","Queens Road - Asda","435695","385894","53.3687122429326","-1.46501085861567","-","-","-","45","48","41","41","40","40","42","47","46","45","44"
"Local Transport Plan Tubes","463 Queens Road","435492","385659","53.3666136382273","-1.46808785676323","-","-","-","61","64","53","57","52","57","57","65","62","60","55"
"Local Transport Plan Tubes","London Road - Sark Road","435182","385241","53.3628772153498","-1.47279269465189","-","-","-","56","57","49","52","52","51","54","56","54","54","50"
"Local Transport Plan Tubes","London Road - Ponsfords","435163","384990","53.3606224284262","-1.47310600664809","-","-","-","59","62","53","57","52","51","51","57","56","55","49"
"Local Transport Plan Tubes","Chesterfield Road - Meersbrook Park","434965","384613","53.3572469495028","-1.47612254510996","-","-","-","56","60","54","53","57","53","55","63","56","54","50"
"Local Transport Plan Tubes","513 Chesterfield Road","434682","383688","53.3489513872651","-1.48047541322923","-","-","-","34","39","38","35","35","35","34","38","37","36","32"
"Local Transport Plan Tubes","Chesterfield Road - Olivet Road","434860","382989","53.3426569263666","-1.47787837155537","-","-","-","51","53","46","45","48","47","47","53","50","50","43"
"Local Transport Plan Tubes","Chesterfield road -Charles Ashmore","434905","381873","53.3326230515319","-1.47732511321036","-","-","-","37","38","33","33","32","32","32","32","32","37","34"
"Local Transport Plan Tubes","Meadowhead Road","435137","381357","53.3279697952162","-1.47389857417974","-","-","-","30","31","30","30","30","30","29","32","31","30","28"
"Local Transport Plan Tubes","Lowfield School GH3","435239","385393","53.3642396422652","-1.47191932661577","-","-","-","-","40","35","34","36","35","36","40","39","38","34"
"Local Transport Plan Tubes","Lowfield School GH3 duplicate","435239","385393","53.3642396422652","-1.47191932661577","-","-","-","-","39","33","34","36","36","35","38","37","39","34"
"Local Transport Plan Tubes","Lowfield School GH3 duplicate","435239","385393","53.3642396422652","-1.47191932661577","-","-","-","-","38","33","37","36","36","35","37","37","36","31"
"Co-located","Sheffield Centre AURN-1","435158","386885","53.3776554434517","-1.47297105553921","-","-","-","-","39","35","33","33","34","34","moved","28","27","26"
"Co-located","Sheffield Centre AURN-2","435158","386885","53.3776554434517","-1.47297105553921","-","-","-","-","36","36","36","35","33","34","moved","29","29","25"
"Co-located","Sheffield Centre AURN-3","435158","386885","53.3776554434517","-1.47297105553921","-","-","-","-","40","35","34","34","34","34","moved","29","29","25"
"LSTF","Attercliffe Common (Terry Street)","438513","389542","53.4013037011288","-1.42221844310492","-","-","-","-","-","-","-","-","-","-","47","46","48","47"
"LSTF","Attercliffe Road (Bodmin Street)","437928","388800","53.3946767448755","-1.43110544288932","-","-","-","-","-","-","-","-","-","-","64","63","53","50"
"LSTF","Attercliffe Road (Staniforth Road)","437691","388527","53.3922399040987","-1.43470174454297","-","-","-","-","-","-","-","-","-","-","58","56","50","44"
"LSTF","Attercliffe Road (Tesco)","436350","388234","53.3897000890468","-1.45489908849407","-","-","-","-","-","-","-","-","-","-","47","48","48","41"
"LSTF","Savile Street East (Gripple)","437019","388825","53.3949657600438","-1.44477130036017","-","-","-","-","-","-","-","-","-","-","39","40","36","34"
"LSTF","Brightside Lane (Stevenson Road)","437461","389311","53.3993029144643","-1.43806731875864","-","-","-","-","-","-","-","-","-","-","51","52","48","44"
"LSTF","Brightside Lane (Forgemaster)","438353","390191","53.4071485896468","-1.4245460834482","-","-","-","-","-","-","-","-","-","-","55","55","54","48"
"LSTF","Brightside Lane (Jenkin Road)","438607","390611","53.4109051218983","-1.42067427572653","-","-","-","-","-","-","-","-","-","-","67","64","65","57"
"LSTF","Meadowhall Road (M1 34N)","439167","391698","53.4206339999834","-1.41211563792589","-","-","-","-","-","-","-","-","-","-","63","64","59","54"
"LSTF","Sheffield Road (M1 34S)","439717","390829","53.4127823876191","-1.40394939569782","-","-","-","-","-","-","-","-","-","-","61","60","57","52"
"A61 South","Chesterfield Road South/Lowedges Road","435183","380645","53.3215670863999","-1.47328671904833","-","-","-","-","-","-","-","-","-","-","-","46","45","37"
"A61 South","Bochum Parkway/Norton Lane","435750","381590","53.3300231486403","-1.4646689377352","-","-","-","-","-","-","-","-","-","-","-","32","31","27"
"A61 Hillsborough","Beeley Wood Road","433251","391116","53.415807646724","-1.50119148673328","-","-","-","-","-","-","-","-","-","-","-","-","42","41"
"A61 Hillsborough","Winster Road","433455","390475","53.4100333643954","-1.49819014187291","-","-","-","-","-","-","-","-","-","-","-","-","57","55"
"A61 Hillsborough","Owlerton Green","433610","389859","53.4044868195852","-1.49592394349302","-","-","-","-","-","-","-","-","-","-","-","-","42","41"
"A61 Hillsborough","Hillsborough Barracks","433860","389593","53.4020800355523","-1.49219221166013","-","-","-","-","-","-","-","-","-","-","-","-","32","33"
"A61 Hillsborough","Bamforth Street","433911","389398","53.4003240737861","-1.4914460653902","-","-","-","-","-","-","-","-","-","-","-","-","41","38"
"A61 Hillsborough","Neepsend Lane","434210","388876","53.3956130080262","-1.48700572528884","-","-","-","-","-","-","-","-","-","-","-","-","38","36"
