"permitReference","permitName","address","postcode","permitUrl","section","type","subtype"
"F-W-Wallace.F_W_Wallace_Ltd.pdf","F W Wallace Ltd (PDF, 896 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/F-W-Wallace/F%20W%20Wallace%20Ltd.pdf","B","coatings","road-vehicles"
"Scania.Scania__GB__Ltd.pdf","Scania (GB) Ltd (PDF, 694 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/Scania/Scania%20%28GB%29%20Ltd.pdf","B","coatings","road-vehicles"
"Just-Car-Clinic-Sutherland.Just_Car_Clinic_Ltd.pdf","Just Car Clinic Ltd (PDF, 694 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/Just-Car-Clinic-Sutherland/Just%20Car%20Clinic%20Ltd.pdf","B","coatings","road-vehicles"
"Clark-and-Partners.Clark_and_Partners_Ltd.pdf","Clark and Partners Ltd (PDF, 693 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/Clark-and-Partners/Clark%20and%20Partners%20Ltd.pdf","B","coatings","road-vehicles"
"Pentagon.Pentagon_Vauxhall_-_Accident_Repair_Centre.pdf","Pentagon Vauxhall - Accident Repair Centre (PDF, 615 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/Pentagon/Pentagon%20Vauxhall%20-%20Accident%20Repair%20Centre.pdf","B","coatings","road-vehicles"
"Massey-Trucks.Massey_Truck_Engineering_Ltd.pdf","Massey Truck Engineering Ltd (PDF, 566 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/Massey-Trucks/Massey%20Truck%20Engineering%20Ltd.pdf","B","coatings","road-vehicles"
"A-R-Motors.A%26R_Motor_Services_Ltd.pdf","A&R Motor Services Ltd (PDF, 1202 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/A-R-Motors/A%26R%20Motor%20Services%20Ltd.pdf","B","coatings","road-vehicles"
"Nationwide.Nationwide_Crash_Repair_Centres_Ltd.pdf","Nationwide Crash Repair Centres Ltd (PDF, 629 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/road-vehicles/Nationwide/Nationwide%20Crash%20Repair%20Centres%20Ltd.pdf","B","coatings","road-vehicles"
"Aggregate-3.Sheffield_Ashphalt.pdf","Sheffield Ashphalt (PDF, 1042 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/roadstone/Aggregate-3/Sheffield%20Ashphalt.pdf","B","coatings","roadstone"
"Cemex.Cemex_UK_Materials_Ltd.pdf","Cemex UK Materials Ltd (PDF, 598 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/roadstone/Cemex/Cemex%20UK%20Materials%20Ltd.pdf","B","coatings","roadstone"
